refund_id,case_id,refund_type,refund_amount_eur
359,4147,Partial,47.82
360,4161,Partial,24.3
361,4163,Full,26.98
362,4169,Partial,40.7
363,4178,Full,35.74
364,4188,Full,8.64
365,4218,Full,8.48
366,4219,Partial,18.65
367,4239,Full,25.68
368,4287,Partial,2.81
369,4288,Full,9.29
370,4296,Partial,4.02
371,4299,Full,4.94
372,4321,Partial,7.95
373,4327,Full,18.27
374,4343,Partial,10.26
375,4351,Full,5.4
376,4375,Partial,11.38
377,4377,Partial,8.44
378,4378,Partial,15.15
379,4403,Full,10.83
380,4406,Full,14.9
381,4410,Full,34.91
382,4417,Partial,4.41
383,4420,Partial,13.69
384,4435,Partial,35.44
385,4438,Full,19.07
386,4439,Partial,28.23
387,4445,Partial,20.51
388,4483,Partial,20.88
389,4487,Partial,3.18
390,4491,Full,46.45
391,4513,Full,34.42
392,4520,Partial,28.83
393,4524,Partial,3.23
394,4559,Partial,3.94
395,4583,Full,63.06
396,4589,Partial,44.36
397,4593,Partial,11.75
398,4597,Partial,1.6
399,4623,Full,15.24
400,4651,Full,24.35
401,4677,Full,3.97
402,4709,Partial,16.48
403,4711,Partial,20.63
404,4715,Partial,28.52
405,4718,Full,36.28
406,4738,Partial,60.83
407,4739,Full,57.51
408,4743,Partial,31.4
409,4747,Full,22.41
410,4771,Partial,6.13
411,4777,Full,14.62
412,4792,Partial,50.42
413,4806,Partial,1.69
414,4814,Full,26.73
415,4818,Full,37.3
416,4821,Full,30.47
417,4842,Full,45.82
418,4844,Partial,2.94
419,4856,Full,22.19
420,4875,Full,18.48
421,4891,Partial,45.83
422,4897,Partial,26.04
423,4899,Full,1.67
424,4905,Full,19.78
425,4911,Full,29.83
426,4914,Partial,70.85
427,4932,Partial,38.11
428,4948,Partial,20.88
429,4950,Full,31.34
430,4971,Full,13.97
431,4975,Partial,35.03
432,4985,Full,22.84
433,5013,Partial,60.3
434,5026,Partial,58.64
435,5041,Full,30.23
436,5043,Partial,5.09
437,5048,Partial,19.04
438,5055,Partial,26.81
439,5060,Partial,7.85
440,5109,Partial,46.0
441,5163,Partial,17.46
442,5174,Partial,32.73
443,5178,Partial,26.26
444,5188,Full,13.89
445,5220,Partial,9.66
446,5222,Partial,5.65
447,5241,Full,12.04
448,5247,Partial,38.09
449,5255,Partial,16.94
450,5260,Partial,3.27
451,5270,Partial,23.65
452,5280,Partial,18.72
453,5285,Full,13.79
454,5290,Full,58.16
455,5300,Partial,7.67
456,5310,Partial,36.63
457,5315,Partial,13.51
458,5317,Partial,12.1
459,5338,Full,13.15
460,5375,Partial,30.61
461,5397,Full,13.21
462,5398,Partial,40.32
463,5404,Partial,6.11
464,5415,Full,2.86
465,5426,Partial,1.22
466,5437,Full,8.2
467,5456,Partial,32.5
468,5461,Full,39.07
469,5477,Partial,18.25
470,5499,Partial,7.74
471,5507,Partial,20.6
472,5530,Partial,21.93
473,5547,Partial,18.29
474,5558,Partial,7.97
475,5613,Full,25.14
476,5617,Full,90.34
477,5628,Partial,4.89
478,5633,Full,37.06
479,5656,Partial,11.08
480,5665,Partial,18.47
481,5670,Full,61.49
482,5676,Full,5.82
483,5689,Partial,16.21
484,5714,Full,14.25
485,5716,Partial,17.08
486,5732,Partial,7.17
487,5741,Partial,14.04
488,5772,Partial,9.71
489,5783,Full,14.81
490,5791,Partial,33.9
491,5794,Partial,38.92
492,5817,Partial,6.45
493,5828,Partial,34.5
494,5839,Full,9.86
495,5846,Partial,11.84
496,5866,Partial,13.76
497,5872,Full,49.84
498,5883,Partial,24.78
499,5888,Partial,21.72
500,5898,Partial,21.02
501,5929,Full,61.31
502,5940,Full,60.74
503,5949,Partial,10.36
504,5965,Partial,28.21
505,5980,Partial,6.26
506,5991,Partial,22.16
507,6010,Partial,78.46
508,6014,Partial,6.2
509,6029,Partial,7.4
510,6058,Full,34.82
511,6062,Full,31.06
512,6069,Full,39.78
513,6080,Full,17.01
514,6093,Partial,31.97
515,6099,Full,16.27
516,6104,Full,12.78
517,6108,Partial,43.07
518,6120,Full,10.2
519,6137,Partial,7.14
520,6164,Full,15.56
521,6170,Partial,7.53
522,6208,Full,26.46
523,6220,Partial,11.89
524,6221,Full,19.41
525,6225,Full,33.75
526,6236,Full,56.96
527,6239,Partial,1.32
528,6249,Partial,62.4
529,6252,Full,34.37
530,6269,Full,23.14
531,6279,Partial,11.35
532,6292,Partial,21.12
533,6302,Partial,14.83
534,6319,Partial,25.16
535,6327,Full,5.81
536,6329,Partial,15.51
537,6343,Partial,19.53
538,6359,Partial,14.84
539,6381,Partial,7.25
540,6389,Partial,23.27
541,6399,Partial,24.54
542,6404,Partial,13.09
543,6437,Partial,2.54
544,6444,Partial,9.85
545,6500,Partial,14.62
546,6504,Partial,26.85
547,6508,Full,9.39
548,6517,Full,32.53
549,6519,Full,8.26
550,6528,Partial,7.59
551,6532,Partial,15.29
552,6563,Full,53.91
553,6571,Partial,19.48
554,6587,Partial,29.54
555,6593,Full,21.27
556,6600,Partial,4.52
557,6642,Partial,7.41
558,6656,Full,65.36
559,6665,Partial,16.99
560,6692,Full,27.72
561,6694,Full,17.4
562,6709,Full,33.11
563,6710,Partial,35.93
564,6713,Full,127.23
565,6716,Partial,12.06
566,6744,Full,8.9
567,6745,Partial,1.52
568,6747,Full,95.79
569,6758,Full,25.43
570,6773,Partial,3.26
571,6780,Full,23.35
572,6783,Partial,47.96
573,6788,Full,10.07
574,6795,Full,15.78
575,6800,Full,60.49
576,6819,Partial,28.34
577,6845,Partial,5.31
578,6854,Partial,47.49
579,6858,Partial,16.56
580,6864,Partial,19.69
581,6866,Partial,40.96
582,6870,Full,4.13
583,6878,Full,12.38
584,6880,Full,17.56
585,6881,Full,61.31
586,6888,Full,20.61
587,6909,Full,1.37
588,6922,Full,20.54
589,6924,Partial,26.06
590,6926,Partial,14.17
591,6933,Partial,3.59
592,6948,Full,10.02
593,6954,Partial,31.37
594,6966,Partial,18.75
595,6983,Full,8.82
596,7001,Partial,20.49
597,7014,Partial,12.5
598,7045,Partial,15.5
599,7054,Partial,7.46
600,7056,Full,26.58
601,7069,Full,12.51
602,7080,Full,73.6
603,7084,Partial,84.39
604,7085,Partial,7.44
605,7088,Partial,50.57
606,7098,Full,31.58
607,7122,Partial,11.54
608,7143,Partial,39.62
609,7146,Partial,20.93
610,7158,Partial,19.07
611,7166,Full,32.84
612,7178,Full,28.5
613,7200,Partial,14.43
614,7218,Full,69.36
615,7241,Partial,28.84
616,7242,Partial,113.02
617,7252,Partial,15.04
618,7260,Full,7.61
619,7264,Full,59.51
620,7290,Full,5.59
621,7291,Partial,15.87
622,7308,Full,92.04
623,7309,Full,17.7
624,7319,Full,10.59
625,7322,Partial,24.98
626,7358,Full,8.48
627,7381,Partial,29.24
628,7387,Full,82.6
629,7408,Full,8.77
630,7414,Partial,1.09
631,7430,Partial,3.51
632,7432,Partial,2.9
633,7447,Partial,31.76
634,7454,Partial,4.0
635,7465,Partial,29.38
636,7489,Partial,35.63
637,7495,Partial,3.61
638,7525,Partial,33.37
639,7537,Partial,16.44
640,7539,Partial,72.39
641,7568,Partial,11.61
642,7571,Partial,20.09
643,7598,Partial,1.33
644,7620,Full,21.91
645,7626,Partial,2.98
646,7660,Partial,9.79
647,7686,Full,8.47
648,7691,Full,38.04
649,7731,Partial,6.53
650,7732,Full,2.7
651,7745,Partial,79.58
652,7754,Partial,13.99
653,7760,Partial,52.04
654,7787,Partial,2.54
655,7789,Partial,1.77
656,7810,Full,28.0
657,7824,Full,14.49
658,7830,Partial,18.83
659,7845,Partial,39.99
660,7885,Partial,7.78
661,7910,Partial,2.85
662,7927,Full,28.09
663,7972,Full,13.25
664,7974,Full,21.71
665,7975,Partial,35.48
666,8000,Full,9.77
667,8013,Partial,19.22
668,8017,Partial,46.79
669,8026,Full,71.34
670,8035,Full,59.98
671,8044,Full,4.76
672,8055,Partial,49.09
673,8084,Full,12.52
674,8138,Partial,15.76
675,8139,Full,34.6
676,8149,Full,4.9
677,8159,Partial,2.4
678,8169,Partial,4.74
679,8194,Partial,12.2
680,8197,Partial,31.69
681,8210,Partial,16.88
682,8227,Partial,5.64
683,8228,Partial,37.7
684,8259,Full,34.64
685,8262,Partial,35.39
686,8266,Full,32.62
687,8270,Full,43.8
688,8273,Full,6.22
689,8277,Full,36.04
690,8282,Full,10.46
691,8289,Partial,21.99
692,8291,Partial,18.63
693,8299,Full,18.59
694,8304,Partial,9.88
695,8309,Full,20.42
696,8319,Partial,4.75
697,8328,Full,20.01
698,8347,Partial,11.37
699,8387,Full,33.59
700,8394,Full,36.25
701,8400,Full,20.18
702,8416,Full,7.53
703,8419,Partial,26.61
704,8423,Partial,41.22
705,8430,Partial,20.79
706,8432,Full,28.05
707,8433,Partial,23.7
708,8443,Partial,7.54
709,8454,Partial,21.18
710,8457,Partial,28.18
711,8466,Full,64.77
712,8482,Partial,44.51
713,8499,Full,24.25
714,8509,Full,36.9
715,8521,Partial,44.86
716,8534,Partial,17.02
717,8540,Partial,3.37
718,8558,Full,28.58
719,8563,Full,29.41
720,8577,Partial,9.82
721,8582,Full,10.14
722,8586,Full,13.81
723,8624,Partial,17.18
724,8629,Partial,36.1
725,8662,Partial,12.92
726,8668,Partial,32.93
727,8670,Partial,35.11
728,8672,Partial,21.46
729,8677,Partial,38.66
730,8697,Partial,20.9
731,8698,Partial,13.61
732,8715,Partial,21.45
733,8726,Full,18.68
734,8728,Partial,50.55
735,8729,Partial,1.8
736,8740,Partial,8.11
737,8741,Partial,5.07
738,8778,Full,23.2
739,8807,Partial,3.18
740,8814,Partial,39.98
741,8844,Full,16.67
742,8863,Partial,57.82
743,8878,Full,52.43
744,8881,Partial,67.15
745,8889,Full,23.6
746,8900,Full,85.82
747,8901,Partial,33.75
748,8903,Full,17.98
749,8905,Full,36.29
750,8910,Partial,37.81
751,8919,Partial,20.12
752,8922,Partial,22.62
753,8929,Partial,15.79
754,8938,Partial,10.67
755,8949,Partial,29.12
756,8959,Full,11.74
757,8966,Partial,35.96
758,8971,Partial,40.95
759,8996,Full,10.24
760,9000,Full,26.46
761,9002,Partial,15.79
762,9016,Partial,10.27
763,9017,Full,6.21
764,9022,Full,33.93
765,9050,Partial,6.68
766,9051,Partial,4.15
767,9061,Full,21.1
768,9062,Full,9.27
769,9068,Partial,19.89
770,9083,Partial,3.94
771,9087,Partial,29.0
772,9090,Partial,6.81
773,9101,Full,9.22
774,9108,Partial,9.13
775,9113,Partial,19.69
776,9116,Partial,7.37
777,9126,Partial,10.53
778,9128,Partial,7.97
779,9144,Partial,3.58
780,9155,Full,71.72
781,9163,Full,16.17
782,9174,Full,23.53
783,9177,Full,8.12
784,9184,Full,57.22
785,9198,Full,34.34
786,9202,Partial,34.11
787,9214,Full,26.83
788,9222,Partial,37.59
789,9226,Full,58.68
790,9241,Full,74.9
791,9242,Full,5.25
792,9263,Full,19.66
793,9264,Full,20.86
794,9279,Full,6.93
795,9295,Partial,60.56
796,9317,Partial,4.07
797,9318,Partial,5.65
798,9327,Partial,32.53
799,9333,Partial,23.07
800,9338,Partial,14.02
801,9416,Full,25.48
802,9423,Full,8.28
803,9430,Partial,11.03
804,9431,Partial,40.56
805,9449,Partial,3.02
806,9474,Partial,33.91
807,9494,Partial,11.18
808,9509,Partial,14.07
809,9517,Partial,13.88
810,9520,Full,3.33
811,9521,Full,25.23
812,9523,Full,13.13
813,9532,Partial,21.07
814,9537,Partial,22.22
815,9564,Partial,2.41
816,9575,Full,16.38
817,9576,Partial,27.72
818,9584,Partial,47.06
819,9605,Partial,25.7
820,9629,Full,43.18
821,9630,Full,29.64
822,9640,Partial,6.34
823,9661,Partial,49.1
824,9670,Partial,22.9
825,9675,Full,28.11
826,9698,Full,35.5
827,9751,Partial,7.53
828,9774,Full,1.16
829,9777,Partial,17.67
830,9806,Partial,1.62
831,9833,Full,6.72
832,9834,Partial,6.19
833,9844,Full,5.07
834,9856,Partial,25.96
835,9878,Partial,30.62
836,9889,Partial,4.76
837,9894,Partial,19.07
838,9900,Partial,21.43
839,9928,Partial,27.92
840,9936,Full,4.89
841,9954,Partial,88.53
842,9971,Partial,11.7
843,9977,Partial,11.0
844,9991,Partial,33.78
845,9994,Full,9.47
846,10004,Full,32.52
847,10011,Partial,36.79
848,10015,Full,14.77
849,10021,Full,13.32
850,10028,Partial,19.65
851,10051,Partial,37.2
852,10052,Partial,21.12
853,10062,Partial,53.24
854,10064,Partial,20.47
855,10082,Full,25.04
856,10093,Full,40.77
857,10132,Full,31.97
858,10147,Full,29.01
859,10153,Partial,23.13
860,10161,Partial,56.51
861,10164,Full,31.36
862,10174,Partial,12.32
863,10198,Partial,3.96
864,10200,Full,22.91
865,10212,Partial,24.19
866,10213,Partial,1.78
867,10215,Partial,23.17
868,10219,Partial,16.62
869,10245,Partial,23.97
870,10263,Full,4.31
871,10264,Partial,12.77
872,10285,Partial,30.32
873,10303,Partial,5.5
874,10313,Full,26.62
875,10316,Partial,28.77
876,10327,Full,22.87
877,10334,Full,16.14
878,10359,Full,40.53
879,10369,Full,12.75
880,10378,Partial,11.03
881,10403,Partial,43.5
882,10409,Full,26.82
883,10419,Full,12.45
884,10429,Full,11.28
885,10435,Partial,3.98
886,10445,Full,10.01
887,10462,Partial,64.83
888,10466,Full,10.13
889,10467,Partial,6.22
890,10471,Full,86.72
891,10474,Partial,70.93
892,10508,Partial,1.0
893,10514,Partial,4.99
894,10517,Partial,3.31
895,10518,Full,7.23
896,10532,Partial,37.7
897,10541,Full,13.92
898,10544,Full,19.74
899,10551,Partial,21.01
900,10574,Partial,29.35
901,10584,Partial,4.83
902,10585,Partial,15.08
903,10591,Full,17.56
904,10651,Partial,13.44
905,10695,Partial,7.55
906,10697,Full,5.14
907,10705,Full,21.37
908,10722,Partial,9.69
909,10725,Full,11.91
910,10746,Full,13.18
911,10750,Partial,21.54
912,10758,Full,7.52
913,10797,Full,9.7
914,10806,Partial,14.27
915,10813,Partial,26.79
916,10816,Full,37.76
917,10844,Full,21.51
918,10845,Full,17.02
919,10851,Partial,12.59
920,10869,Full,11.64
921,10883,Full,30.69
922,10887,Partial,8.26
923,10909,Full,30.76
924,10917,Full,15.25
925,10922,Partial,4.03
926,10924,Full,8.59
927,10942,Partial,12.15
928,10963,Full,34.15
929,10984,Partial,1.87
930,10997,Partial,23.71
931,11001,Partial,25.17
932,11003,Partial,1.7
933,11005,Partial,26.1
934,11021,Partial,19.79
935,11046,Partial,3.82
936,11047,Partial,5.15
937,11048,Partial,42.06
938,11088,Partial,7.41
939,11095,Full,6.64
940,11100,Partial,65.35
941,11104,Partial,27.43
942,11107,Partial,3.9
943,11121,Full,11.38
944,11144,Full,14.16
945,11158,Partial,4.99
946,11206,Full,8.91
947,11210,Partial,32.24
948,11211,Full,70.18
949,11224,Partial,36.52
950,11225,Partial,8.34
951,11232,Partial,8.83
952,11263,Full,43.0
953,11266,Partial,16.08
954,11271,Partial,2.84
955,11280,Full,57.39
956,11281,Full,27.19
957,11285,Full,6.45
958,11292,Full,25.37
959,11303,Partial,7.1
960,11327,Partial,27.74
961,11329,Partial,21.12
962,11349,Partial,15.6
963,11350,Partial,26.45
964,11356,Partial,26.03
965,11359,Partial,14.14
966,11385,Partial,14.12
967,11388,Partial,68.39
968,11410,Full,44.99
969,11427,Partial,8.91
970,11439,Partial,6.04
971,11467,Full,10.66
972,11468,Partial,7.26
973,11469,Full,17.26
974,11473,Full,42.68
975,11499,Full,2.05
976,11508,Full,22.02
977,11528,Partial,25.96
978,11529,Partial,21.33
979,11531,Partial,17.46
980,11559,Partial,4.64
981,11572,Full,1.96
982,11575,Full,7.33
983,11592,Full,32.22
984,11598,Partial,51.08
985,11630,Partial,64.94
986,11632,Partial,37.26
987,11703,Full,21.5
988,11723,Full,9.23
989,11737,Full,10.65
990,11741,Full,27.07
991,11750,Full,3.89
992,11752,Partial,18.62
993,11755,Partial,90.85
994,11770,Full,34.1
995,11781,Full,18.31
996,11782,Full,70.18
997,11798,Partial,14.85
998,11817,Partial,11.25
999,11818,Partial,3.27
1000,11823,Partial,7.92
1001,11863,Full,49.72
1002,11869,Partial,34.18
1003,11881,Full,71.53
1004,11905,Partial,9.85
1005,11910,Partial,2.02
1006,11923,Full,31.9
1007,11929,Full,57.53
1008,11933,Partial,22.1
1009,11950,Partial,5.81
1010,11971,Partial,29.59
1011,11972,Partial,25.24
1012,11985,Partial,11.93
1013,11989,Partial,19.61
1014,11990,Full,13.41
1015,11994,Partial,13.25
1016,12004,Partial,21.27
1017,12008,Partial,63.41
1018,12021,Full,14.99
1019,12033,Full,16.96
1020,12047,Partial,48.61
1021,12066,Full,5.96
1022,12070,Full,6.8
1023,12074,Partial,4.59
1024,12083,Partial,3.92
1025,12086,Partial,7.87
1026,12089,Full,21.42
1027,12098,Partial,11.2
1028,12101,Partial,11.52
1029,12112,Partial,22.15
1030,12115,Full,18.86
1031,12128,Partial,60.17
1032,12139,Partial,7.49
1033,12147,Full,29.09
1034,12156,Partial,37.13
1035,12157,Full,44.38
1036,12197,Partial,2.92
1037,12200,Partial,20.0
1038,12234,Full,26.26
1039,12237,Partial,31.6
1040,12254,Partial,21.46
1041,12257,Partial,2.06
1042,12261,Partial,12.98
1043,12274,Partial,9.77
1044,12281,Partial,27.22
1045,12289,Partial,13.74
1046,12295,Partial,89.45
1047,12342,Partial,9.77
1048,12359,Full,10.95
1049,12448,Full,44.43
1050,12471,Partial,28.62
1051,12473,Full,41.43
1052,12475,Full,15.05
1053,12488,Full,33.98
1054,12547,Full,15.3
1055,12552,Partial,5.77
1056,12555,Full,18.87
1057,12568,Full,34.2
1058,12569,Partial,6.39
1059,12581,Full,38.31
1060,12585,Full,13.52
1061,12611,Partial,3.44
1062,12619,Partial,34.55
1063,12629,Full,7.59
1064,12639,Partial,4.69
1065,12641,Partial,15.23
1066,12652,Full,70.12
1067,12656,Partial,20.54
1068,12659,Full,58.18
1069,12667,Full,51.02
1070,12701,Full,18.88
1071,12706,Full,64.02
1072,12722,Partial,9.39
1073,12754,Full,15.22
1074,12776,Full,3.17
1075,12782,Partial,8.45
1076,12794,Partial,4.85
1077,12809,Partial,16.57
1078,12816,Partial,26.89
1079,12821,Full,18.43
1080,12838,Partial,16.15
1081,12842,Partial,8.18
1082,12844,Full,16.68
1083,12855,Full,51.18
1084,12868,Full,37.93
1085,12908,Partial,16.72
1086,12909,Full,5.77
1087,12918,Partial,1.0
1088,12931,Partial,36.91
1089,12934,Partial,38.27
1090,12953,Full,7.79
1091,12962,Partial,1.29
1092,12966,Partial,6.37
1093,12968,Full,14.1
1094,12978,Partial,5.22
1095,12982,Partial,29.96
1096,12984,Partial,6.13
1097,12995,Full,13.46
1098,13003,Partial,3.15
1099,13008,Partial,97.6
1100,13039,Full,33.94
1101,13042,Partial,7.31
1102,13043,Partial,19.89
1103,13047,Full,40.37
1104,13064,Full,12.83
1105,13069,Partial,4.1
1106,13073,Partial,63.82
