customer_id,country,region,segment,signup_year,segment_multiplier
150,Austria,North,Standard,2021,1.0
151,Italy,Central,Returning,2021,1.1
152,Austria,Central,Standard,2025,1.0
153,Germany,West,Standard,2021,1.0
154,Netherlands,South,Standard,2024,1.0
155,Spain,East,Standard,2024,1.0
156,Austria,West,Returning,2023,1.1
157,Belgium,North,Returning,2025,1.1
158,Kosovo,East,Standard,2022,1.0
159,Austria,West,Standard,2025,1.0
160,Belgium,West,Standard,2024,1.0
161,Switzerland,South,Returning,2025,1.1
162,Belgium,North,Returning,2025,1.1
163,Belgium,North,Standard,2022,1.0
164,Netherlands,West,Standard,2023,1.0
165,Germany,South,Standard,2025,1.0
166,Italy,West,Standard,2022,1.0
167,Switzerland,Central,Returning,2023,1.1
168,Germany,Central,Standard,2024,1.0
169,Germany,South,Standard,2024,1.0
170,Netherlands,West,Standard,2024,1.0
171,Belgium,South,Returning,2024,1.1
172,Germany,West,Standard,2024,1.0
173,Netherlands,West,Returning,2024,1.1
174,Austria,Central,Returning,2025,1.1
175,Belgium,East,Returning,2023,1.1
176,Germany,North,Standard,2021,1.0
177,Belgium,North,Standard,2023,1.0
178,Switzerland,South,Standard,2025,1.0
179,Spain,North,Standard,2021,1.0
180,Germany,Central,Standard,2024,1.0
181,Switzerland,East,Standard,2023,1.0
182,Germany,West,Standard,2025,1.0
183,Spain,West,Standard,2025,1.0
184,Italy,Central,Returning,2025,1.1
185,Austria,North,Standard,2021,1.0
186,Belgium,West,Standard,2021,1.0
187,Kosovo,North,Standard,2022,1.0
188,Netherlands,Central,Returning,2023,1.1
189,Netherlands,West,Returning,2022,1.1
190,Austria,South,Standard,2023,1.0
191,Germany,East,Returning,2022,1.1
192,Italy,North,Standard,2024,1.0
193,Italy,North,Returning,2025,1.1
194,Belgium,North,Returning,2023,1.1
195,Switzerland,North,Returning,2025,1.1
196,Switzerland,Central,Returning,2022,1.1
197,Belgium,Central,Standard,2021,1.0
198,Italy,Central,Standard,2022,1.0
199,Italy,Central,Standard,2025,1.0
200,Kosovo,West,VIP,2023,1.25
201,Belgium,Central,Standard,2025,1.0
202,Germany,West,Standard,2022,1.0
203,Germany,South,Standard,2025,1.0
204,Italy,Central,Standard,2023,1.0
205,Belgium,South,Returning,2024,1.1
206,Germany,Central,Standard,2025,1.0
207,Germany,South,Standard,2025,1.0
208,Belgium,East,Standard,2025,1.0
209,Germany,South,Returning,2021,1.1
210,Germany,West,Standard,2024,1.0
211,Netherlands,North,Standard,2025,1.0
212,Belgium,South,Returning,2023,1.1
213,Belgium,North,Standard,2024,1.0
214,Austria,East,Standard,2022,1.0
215,Belgium,East,Returning,2022,1.1
216,Austria,West,Standard,2024,1.0
217,Switzerland,West,Standard,2023,1.0
218,Kosovo,South,Standard,2022,1.0
219,Belgium,Central,Standard,2022,1.0
220,Italy,East,Standard,2024,1.0
221,Belgium,North,Returning,2024,1.1
222,Netherlands,Central,Returning,2022,1.1
223,Germany,East,Returning,2025,1.1
224,Switzerland,South,Standard,2021,1.0
225,Austria,East,Standard,2024,1.0
226,Austria,West,Returning,2022,1.1
227,Spain,North,Standard,2023,1.0
228,Switzerland,North,Standard,2024,1.0
229,Italy,West,Returning,2024,1.1
230,Belgium,Central,Standard,2024,1.0
231,Kosovo,West,Standard,2025,1.0
232,Netherlands,North,Standard,2021,1.0
233,Netherlands,South,Returning,2024,1.1
234,Netherlands,Central,Standard,2023,1.0
235,Germany,East,Standard,2025,1.0
236,Belgium,South,Standard,2024,1.0
237,Austria,Central,Returning,2021,1.1
238,Germany,North,Standard,2024,1.0
239,Belgium,North,Standard,2025,1.0
240,Germany,South,Returning,2021,1.1
241,Spain,Central,Standard,2023,1.0
242,Spain,East,Standard,2024,1.0
243,Italy,East,Standard,2022,1.0
244,Switzerland,West,Returning,2024,1.1
245,Germany,South,Standard,2021,1.0
246,Spain,Central,Returning,2025,1.1
247,Netherlands,South,Standard,2024,1.0
248,Spain,East,VIP,2025,1.25
249,Spain,Central,Returning,2023,1.1
250,Italy,North,VIP,2021,1.25
251,Austria,North,Standard,2023,1.0
252,Switzerland,Central,Standard,2023,1.0
253,Italy,South,Returning,2025,1.1
254,Austria,South,Returning,2025,1.1
255,Germany,North,Returning,2024,1.1
256,Netherlands,North,Standard,2024,1.0
257,Spain,East,Standard,2025,1.0
258,Belgium,Central,Returning,2025,1.1
259,Netherlands,South,Returning,2024,1.1
260,Germany,East,Standard,2024,1.0
261,Belgium,South,Returning,2023,1.1
262,Spain,North,Returning,2024,1.1
263,Germany,Central,Standard,2025,1.0
264,Netherlands,West,Returning,2022,1.1
265,Italy,Central,Standard,2023,1.0
266,Kosovo,West,Returning,2024,1.1
267,Belgium,East,Returning,2024,1.1
268,Belgium,West,Standard,2024,1.0
269,Switzerland,West,Returning,2023,1.1
270,Austria,East,Returning,2024,1.1
271,Kosovo,Central,Returning,2024,1.1
272,Kosovo,East,Standard,2023,1.0
273,Italy,North,Standard,2025,1.0
274,Italy,North,Returning,2024,1.1
275,Netherlands,West,Standard,2025,1.0
276,Netherlands,East,Standard,2022,1.0
277,Kosovo,East,Standard,2024,1.0
278,Belgium,East,Standard,2024,1.0
279,Belgium,Central,Returning,2023,1.1
280,Kosovo,South,Returning,2022,1.1
281,Italy,South,Returning,2023,1.1
282,Switzerland,South,Returning,2023,1.1
283,Switzerland,Central,Returning,2022,1.1
284,Germany,East,Standard,2024,1.0
285,Netherlands,South,Returning,2023,1.1
286,Germany,East,Standard,2025,1.0
287,Netherlands,West,Standard,2024,1.0
288,Netherlands,South,Standard,2023,1.0
289,Austria,West,Standard,2023,1.0
290,Netherlands,Central,Standard,2025,1.0
291,Germany,North,Standard,2025,1.0
292,Germany,Central,Standard,2023,1.0
293,Italy,Central,Standard,2024,1.0
294,Switzerland,Central,Standard,2025,1.0
295,Germany,South,Standard,2025,1.0
296,Netherlands,West,Standard,2021,1.0
297,Kosovo,South,Standard,2024,1.0
298,Germany,North,Returning,2024,1.1
299,Belgium,Central,Returning,2022,1.1
300,Germany,East,Returning,2025,1.1
301,Germany,North,Returning,2023,1.1
302,Netherlands,West,Returning,2023,1.1
303,Netherlands,North,Standard,2022,1.0
304,Belgium,South,Standard,2023,1.0
305,Belgium,East,Standard,2021,1.0
306,Spain,South,Standard,2025,1.0
307,Netherlands,Central,Returning,2023,1.1
308,Switzerland,Central,Returning,2022,1.1
309,Kosovo,North,Returning,2022,1.1
310,Austria,Central,Standard,2023,1.0
311,Netherlands,Central,VIP,2024,1.25
312,Germany,West,VIP,2024,1.25
313,Germany,West,Standard,2025,1.0
314,Spain,South,Returning,2024,1.1
315,Italy,South,Standard,2023,1.0
316,Belgium,West,Standard,2023,1.0
317,Netherlands,North,Standard,2024,1.0
318,Germany,West,Returning,2024,1.1
319,Germany,South,Standard,2024,1.0
320,Austria,East,Standard,2023,1.0
321,Netherlands,Central,Standard,2021,1.0
322,Belgium,East,Standard,2023,1.0
323,Belgium,East,Standard,2021,1.0
324,Austria,Central,Standard,2022,1.0
325,Spain,West,Standard,2023,1.0
326,Belgium,North,Standard,2024,1.0
327,Netherlands,East,Standard,2022,1.0
328,Belgium,North,Returning,2022,1.1
329,Netherlands,South,VIP,2023,1.25
330,Austria,East,Standard,2022,1.0
331,Switzerland,South,Standard,2025,1.0
332,Kosovo,West,Returning,2025,1.1
333,Germany,East,Standard,2025,1.0
334,Germany,South,Returning,2024,1.1
335,Germany,South,Standard,2025,1.0
336,Germany,West,Standard,2024,1.0
337,Italy,North,Returning,2023,1.1
338,Belgium,North,Returning,2024,1.1
339,Netherlands,East,Standard,2024,1.0
340,Germany,West,Standard,2024,1.0
341,Netherlands,East,Returning,2025,1.1
342,Netherlands,North,Standard,2023,1.0
343,Germany,West,Returning,2024,1.1
344,Netherlands,Central,Standard,2022,1.0
345,Switzerland,West,Standard,2025,1.0
346,Belgium,West,Standard,2021,1.0
347,Belgium,Central,Returning,2025,1.1
348,Germany,South,Standard,2024,1.0
349,Switzerland,South,Standard,2023,1.0
350,Belgium,South,Standard,2023,1.0
351,Netherlands,North,VIP,2023,1.25
352,Italy,West,VIP,2025,1.25
353,Belgium,Central,Returning,2022,1.1
354,Germany,North,VIP,2022,1.25
355,Germany,Central,Standard,2022,1.0
356,Belgium,North,VIP,2023,1.25
357,Germany,North,Standard,2023,1.0
358,Netherlands,North,Standard,2024,1.0
359,Spain,Central,Standard,2025,1.0
360,Netherlands,East,VIP,2025,1.25
361,Switzerland,North,Returning,2025,1.1
362,Belgium,South,Returning,2024,1.1
363,Netherlands,West,VIP,2022,1.25
364,Netherlands,East,Returning,2023,1.1
365,Spain,East,Returning,2022,1.1
366,Switzerland,Central,Standard,2022,1.0
367,Spain,East,Returning,2023,1.1
368,Italy,Central,VIP,2025,1.25
369,Germany,Central,VIP,2024,1.25
370,Germany,South,Standard,2025,1.0
371,Germany,North,Standard,2022,1.0
372,Germany,East,Standard,2023,1.0
373,Germany,North,Standard,2025,1.0
374,Belgium,North,Standard,2023,1.0
375,Germany,North,Returning,2023,1.1
376,Austria,Central,Returning,2025,1.1
377,Italy,North,Returning,2023,1.1
378,Germany,East,Standard,2025,1.0
379,Kosovo,Central,Standard,2022,1.0
380,Austria,East,Standard,2025,1.0
381,Germany,Central,Standard,2022,1.0
382,Belgium,West,Standard,2022,1.0
383,Belgium,West,Standard,2023,1.0
384,Italy,West,VIP,2023,1.25
385,Belgium,West,Standard,2023,1.0
386,Kosovo,Central,Standard,2025,1.0
387,Austria,North,Returning,2025,1.1
388,Germany,South,Returning,2023,1.1
389,Kosovo,South,Returning,2023,1.1
390,Kosovo,West,Returning,2023,1.1
391,Spain,North,Returning,2021,1.1
392,Netherlands,East,Returning,2024,1.1
393,Switzerland,North,Standard,2022,1.0
394,Kosovo,East,Standard,2025,1.0
395,Switzerland,South,Returning,2023,1.1
396,Spain,North,Standard,2024,1.0
397,Italy,North,Returning,2025,1.1
398,Netherlands,South,Returning,2022,1.1
399,Kosovo,North,Standard,2024,1.0
400,Kosovo,East,Standard,2022,1.0
401,Germany,North,Returning,2023,1.1
402,Italy,East,Returning,2024,1.1
403,Netherlands,West,Returning,2022,1.1
404,Italy,North,Returning,2024,1.1
405,Switzerland,East,Returning,2023,1.1
406,Italy,South,Returning,2024,1.1
407,Switzerland,West,Standard,2025,1.0
408,Germany,North,Standard,2023,1.0
409,Italy,East,Standard,2023,1.0
410,Germany,North,Standard,2023,1.0
411,Austria,East,Standard,2024,1.0
412,Spain,North,VIP,2023,1.25
413,Spain,West,Returning,2025,1.1
414,Netherlands,West,Returning,2022,1.1
415,Belgium,North,Returning,2022,1.1
416,Netherlands,North,Standard,2024,1.0
417,Austria,Central,Standard,2022,1.0
418,Switzerland,North,VIP,2021,1.25
419,Belgium,North,Standard,2022,1.0
420,Kosovo,West,Returning,2025,1.1
421,Kosovo,North,Standard,2021,1.0
422,Kosovo,South,Standard,2022,1.0
423,Germany,North,Standard,2024,1.0
424,Netherlands,Central,Standard,2025,1.0
425,Germany,East,Returning,2024,1.1
426,Netherlands,West,Returning,2025,1.1
427,Netherlands,South,Returning,2025,1.1
428,Italy,East,Returning,2023,1.1
429,Switzerland,South,Returning,2023,1.1
430,Germany,West,Returning,2024,1.1
431,Germany,Central,Standard,2024,1.0
432,Kosovo,West,Returning,2021,1.1
433,Belgium,South,Returning,2025,1.1
434,Germany,South,Standard,2024,1.0
435,Germany,West,Standard,2025,1.0
436,Belgium,North,Standard,2024,1.0
437,Germany,West,Standard,2023,1.0
438,Italy,Central,Returning,2025,1.1
439,Belgium,West,Returning,2025,1.1
440,Germany,East,VIP,2023,1.25
441,Germany,North,Standard,2025,1.0
442,Spain,East,Returning,2022,1.1
443,Switzerland,West,Standard,2024,1.0
444,Switzerland,North,Returning,2021,1.1
445,Kosovo,East,Returning,2025,1.1
446,Spain,East,Returning,2024,1.1
447,Spain,North,Standard,2022,1.0
448,Kosovo,North,Returning,2021,1.1
449,Switzerland,South,Standard,2023,1.0
450,Germany,North,Returning,2024,1.1
451,Kosovo,West,Returning,2022,1.1
452,Netherlands,Central,Returning,2025,1.1
453,Netherlands,South,Standard,2025,1.0
454,Italy,North,Standard,2024,1.0
455,Germany,Central,Standard,2023,1.0
456,Netherlands,South,Returning,2025,1.1
457,Germany,West,Standard,2025,1.0
458,Netherlands,Central,Returning,2021,1.1
459,Germany,North,Standard,2023,1.0
460,Germany,North,Standard,2025,1.0
461,Germany,West,Returning,2023,1.1
462,Belgium,South,Returning,2025,1.1
463,Kosovo,Central,Returning,2025,1.1
464,Netherlands,West,Standard,2023,1.0
465,Spain,South,Standard,2025,1.0
466,Switzerland,East,Standard,2022,1.0
467,Austria,East,Standard,2022,1.0
468,Italy,South,Returning,2022,1.1
469,Austria,North,Standard,2023,1.0
470,Spain,North,VIP,2022,1.25
471,Germany,East,Returning,2023,1.1
472,Spain,North,Returning,2021,1.1
473,Germany,North,VIP,2023,1.25
474,Italy,South,Standard,2025,1.0
475,Netherlands,South,Standard,2024,1.0
476,Spain,North,Returning,2025,1.1
477,Germany,South,Standard,2022,1.0
478,Netherlands,Central,VIP,2023,1.25
479,Spain,East,VIP,2021,1.25
480,Netherlands,Central,Returning,2023,1.1
481,Belgium,Central,Returning,2024,1.1
482,Belgium,North,Returning,2024,1.1
483,Netherlands,North,Returning,2021,1.1
484,Belgium,Central,Standard,2021,1.0
485,Netherlands,Central,Returning,2023,1.1
486,Italy,West,Standard,2024,1.0
487,Germany,West,Returning,2021,1.1
488,Austria,East,VIP,2024,1.25
489,Spain,Central,Standard,2022,1.0
490,Italy,South,Standard,2025,1.0
491,Netherlands,West,Standard,2023,1.0
492,Belgium,North,Returning,2021,1.1
493,Austria,Central,Returning,2024,1.1
494,Germany,South,Returning,2023,1.1
495,Netherlands,South,Returning,2025,1.1
496,Switzerland,South,Standard,2024,1.0
497,Netherlands,North,Returning,2024,1.1
498,Germany,West,Returning,2024,1.1
499,Spain,South,Standard,2023,1.0
500,Spain,West,Standard,2025,1.0
501,Belgium,East,Returning,2021,1.1
502,Netherlands,North,VIP,2024,1.25
503,Austria,West,Returning,2024,1.1
504,Kosovo,West,Returning,2024,1.1
505,Belgium,South,Standard,2023,1.0
506,Germany,South,VIP,2021,1.25
507,Italy,North,Standard,2024,1.0
508,Italy,West,Standard,2023,1.0
509,Spain,Central,Standard,2022,1.0
510,Belgium,South,Returning,2021,1.1
511,Belgium,South,Standard,2024,1.0
512,Netherlands,East,Standard,2022,1.0
513,Spain,North,Standard,2025,1.0
514,Italy,West,Standard,2022,1.0
515,Germany,West,Standard,2021,1.0
516,Germany,West,Returning,2022,1.1
517,Switzerland,South,Standard,2022,1.0
518,Kosovo,North,Standard,2025,1.0
519,Spain,West,Standard,2022,1.0
520,Germany,Central,Standard,2022,1.0
521,Netherlands,East,Standard,2025,1.0
522,Switzerland,East,Returning,2022,1.1
523,Spain,West,Standard,2021,1.0
524,Italy,South,Standard,2023,1.0
525,Italy,East,Returning,2023,1.1
526,Netherlands,East,Standard,2024,1.0
527,Netherlands,East,Standard,2025,1.0
528,Austria,East,Standard,2024,1.0
529,Germany,West,Standard,2024,1.0
530,Italy,North,Standard,2025,1.0
531,Kosovo,North,Standard,2024,1.0
532,Spain,South,Standard,2022,1.0
533,Spain,Central,Standard,2023,1.0
534,Netherlands,North,Returning,2023,1.1
535,Kosovo,Central,Returning,2023,1.1
536,Spain,North,Returning,2022,1.1
537,Italy,North,Returning,2024,1.1
538,Austria,South,Standard,2022,1.0
539,Netherlands,East,Standard,2024,1.0
540,Germany,South,Standard,2023,1.0
541,Spain,North,Returning,2023,1.1
542,Belgium,East,Returning,2023,1.1
543,Austria,East,Returning,2023,1.1
544,Belgium,East,Standard,2024,1.0
545,Belgium,Central,Standard,2025,1.0
546,Switzerland,North,Standard,2023,1.0
547,Germany,West,Standard,2024,1.0
548,Belgium,South,Standard,2025,1.0
549,Netherlands,Central,Returning,2022,1.1
550,Kosovo,South,Standard,2022,1.0
551,Netherlands,West,Returning,2023,1.1
552,Italy,East,Standard,2023,1.0
553,Netherlands,West,Returning,2025,1.1
554,Netherlands,South,Returning,2024,1.1
555,Italy,West,VIP,2024,1.25
556,Netherlands,North,Returning,2024,1.1
557,Germany,West,Standard,2025,1.0
558,Germany,North,Standard,2022,1.0
559,Kosovo,West,Standard,2023,1.0
560,Belgium,North,Standard,2022,1.0
561,Belgium,North,Standard,2025,1.0
562,Germany,West,Standard,2024,1.0
563,Germany,Central,Returning,2025,1.1
564,Germany,East,Standard,2023,1.0
565,Switzerland,East,Standard,2022,1.0
566,Netherlands,East,Returning,2025,1.1
567,Switzerland,North,Returning,2025,1.1
568,Netherlands,East,Returning,2022,1.1
569,Italy,North,Returning,2022,1.1
570,Switzerland,Central,Standard,2023,1.0
571,Netherlands,West,Standard,2023,1.0
572,Kosovo,West,Returning,2025,1.1
573,Switzerland,North,Standard,2022,1.0
574,Belgium,North,Standard,2024,1.0
575,Italy,Central,Standard,2023,1.0
576,Spain,East,Returning,2022,1.1
577,Germany,Central,Standard,2023,1.0
578,Spain,West,Returning,2024,1.1
579,Netherlands,West,Standard,2025,1.0
580,Austria,East,VIP,2024,1.25
581,Netherlands,West,Returning,2024,1.1
582,Spain,North,Standard,2021,1.0
583,Netherlands,West,Standard,2021,1.0
584,Switzerland,South,Standard,2022,1.0
585,Belgium,East,Standard,2021,1.0
586,Austria,East,Standard,2024,1.0
587,Germany,East,Returning,2023,1.1
588,Germany,South,Standard,2021,1.0
589,Germany,Central,Returning,2023,1.1
590,Germany,North,Returning,2022,1.1
591,Germany,East,Returning,2025,1.1
592,Belgium,West,Standard,2023,1.0
593,Germany,North,Standard,2023,1.0
594,Switzerland,West,Standard,2024,1.0
595,Italy,North,Standard,2023,1.0
596,Netherlands,North,VIP,2024,1.25
597,Belgium,West,Returning,2025,1.1
598,Germany,West,Standard,2023,1.0
599,Germany,North,Standard,2023,1.0
600,Germany,East,Returning,2024,1.1
601,Germany,West,Standard,2024,1.0
602,Austria,South,Standard,2025,1.0
603,Germany,South,Standard,2023,1.0
604,Germany,North,Returning,2021,1.1
605,Germany,Central,Returning,2024,1.1
606,Netherlands,North,Returning,2025,1.1
607,Germany,North,Standard,2025,1.0
608,Switzerland,East,Returning,2024,1.1
609,Netherlands,East,Standard,2022,1.0
610,Belgium,Central,Standard,2024,1.0
611,Germany,Central,Standard,2021,1.0
612,Kosovo,Central,VIP,2023,1.25
613,Belgium,Central,Standard,2023,1.0
614,Germany,Central,Standard,2025,1.0
615,Italy,North,Standard,2022,1.0
616,Spain,North,VIP,2025,1.25
617,Germany,South,Returning,2021,1.1
618,Austria,South,Returning,2024,1.1
619,Kosovo,West,Standard,2022,1.0
620,Kosovo,North,Returning,2025,1.1
621,Germany,Central,Returning,2024,1.1
622,Germany,West,Returning,2023,1.1
623,Switzerland,East,Standard,2022,1.0
624,Netherlands,North,Standard,2024,1.0
625,Belgium,South,Returning,2022,1.1
626,Switzerland,North,Returning,2022,1.1
627,Netherlands,North,Standard,2024,1.0
628,Kosovo,North,Standard,2024,1.0
629,Germany,North,VIP,2022,1.25
630,Austria,East,Standard,2024,1.0
631,Belgium,South,Standard,2024,1.0
632,Italy,North,Standard,2025,1.0
633,Netherlands,East,Standard,2025,1.0
634,Netherlands,West,Returning,2023,1.1
635,Germany,North,Standard,2025,1.0
636,Netherlands,East,Standard,2023,1.0
637,Netherlands,Central,Standard,2022,1.0
638,Austria,West,Returning,2023,1.1
639,Austria,South,Returning,2025,1.1
640,Switzerland,North,Returning,2025,1.1
641,Germany,North,Returning,2025,1.1
642,Switzerland,East,Standard,2024,1.0
643,Germany,South,Returning,2023,1.1
644,Switzerland,Central,Returning,2022,1.1
645,Germany,West,Returning,2021,1.1
646,Italy,South,Standard,2023,1.0
647,Netherlands,North,Standard,2024,1.0
648,Belgium,East,Returning,2023,1.1
649,Kosovo,Central,Standard,2024,1.0
650,Netherlands,East,Standard,2024,1.0
651,Germany,West,Returning,2025,1.1
652,Netherlands,South,Standard,2022,1.0
653,Netherlands,East,Returning,2024,1.1
654,Kosovo,East,Standard,2023,1.0
655,Netherlands,North,Returning,2022,1.1
656,Germany,East,Standard,2023,1.0
657,Austria,Central,Returning,2022,1.1
658,Switzerland,South,Standard,2024,1.0
659,Belgium,West,Returning,2024,1.1
660,Netherlands,East,Standard,2025,1.0
661,Switzerland,Central,Standard,2025,1.0
662,Spain,West,Returning,2023,1.1
663,Belgium,Central,Returning,2025,1.1
664,Austria,East,Standard,2025,1.0
665,Germany,East,Standard,2024,1.0
666,Germany,South,Standard,2021,1.0
667,Austria,North,Standard,2022,1.0
668,Germany,Central,Returning,2025,1.1
669,Germany,North,Standard,2023,1.0
670,Austria,North,Returning,2022,1.1
671,Germany,West,Standard,2023,1.0
672,Italy,West,Standard,2022,1.0
673,Germany,Central,Standard,2025,1.0
674,Netherlands,North,Standard,2025,1.0
675,Netherlands,South,Standard,2023,1.0
676,Spain,North,Standard,2022,1.0
677,Germany,West,Returning,2023,1.1
678,Switzerland,North,Standard,2022,1.0
679,Spain,East,Standard,2023,1.0
680,Italy,East,Standard,2024,1.0
681,Kosovo,South,Standard,2022,1.0
682,Austria,Central,Standard,2024,1.0
683,Germany,North,Standard,2021,1.0
684,Belgium,East,Returning,2023,1.1
685,Spain,Central,Returning,2021,1.1
686,Netherlands,East,Returning,2024,1.1
687,Netherlands,Central,Standard,2023,1.0
688,Austria,Central,Standard,2025,1.0
689,Kosovo,East,VIP,2023,1.25
690,Germany,West,Returning,2024,1.1
691,Switzerland,Central,Standard,2025,1.0
692,Netherlands,North,Standard,2024,1.0
693,Netherlands,East,Standard,2023,1.0
694,Austria,West,Returning,2021,1.1
695,Germany,East,Returning,2025,1.1
696,Belgium,South,Standard,2024,1.0
