case_id,date_id,customer_id,agent_id,product_id,issue_id,channel,status,priority,escalated_flag,reopened_flag,is_delayed,delay_minutes,is_cancelled,resolution_minutes,has_refund
25,339,6328,15,19,2,Chat,Closed,Medium,0,0,1,16,0,36,1
26,571,1090,24,210,3,Email,Escalated,High,0,0,1,51,0,55,0
27,577,6026,110,151,2,Chat,Closed,Medium,0,0,0,0,0,149,0
28,246,12304,58,2,9,Email,Closed,Low,0,0,0,0,0,128,0
29,149,9652,105,202,3,Email,Closed,High,0,0,0,0,0,41,0
30,404,7275,25,62,7,Chat,Closed,Medium,0,0,0,0,0,72,0
31,689,2290,115,157,1,Email,Closed,Medium,0,0,0,0,0,97,0
32,503,7148,1,173,5,Chat,Closed,Medium,0,0,0,0,0,51,0
33,384,4758,38,141,2,Email,Closed,Medium,0,0,0,0,0,60,0
34,33,6847,6,206,4,Chat,Closed,High,0,0,0,0,0,80,1
35,402,13328,10,75,3,Email,Closed,High,0,0,1,39,0,55,0
36,425,4283,100,219,8,Email,Closed,Low,0,0,0,0,0,6,0
37,657,3439,73,144,4,App,Closed,High,0,0,0,0,0,22,0
38,269,8744,55,103,4,Email,Closed,High,0,0,0,0,0,80,1
39,299,3544,46,97,10,Chat,Open,Low,0,0,0,0,0,31,0
40,113,4761,95,102,1,Email,Closed,Medium,0,0,1,52,0,99,0
41,504,9897,99,66,5,Chat,Closed,Medium,0,0,0,0,0,35,1
42,321,1547,2,131,8,Email,Closed,Low,0,0,0,0,0,48,1
43,40,4519,26,127,10,Chat,Open,Low,0,0,0,0,0,73,0
44,674,2572,39,100,9,Chat,Closed,Low,0,0,0,0,0,26,0
45,548,14311,50,210,1,Chat,Open,Medium,0,0,0,0,0,53,0
46,365,134,43,232,1,App,Closed,Medium,0,0,0,0,0,25,0
47,206,5508,113,167,3,Email,Closed,High,0,0,0,0,0,51,0
48,235,8502,107,236,4,Chat,Closed,High,1,0,0,0,0,75,0
49,107,3405,84,208,10,Email,Closed,Low,0,0,0,0,0,70,0
50,597,9648,2,9,3,Email,Closed,High,0,0,0,0,0,65,0
51,92,4930,26,122,10,Chat,Closed,Low,0,0,0,0,0,70,0
52,414,4043,42,22,4,Phone,Closed,High,0,0,0,0,0,94,0
53,40,11261,19,11,3,Phone,Closed,High,1,1,0,0,0,214,0
54,396,10971,6,144,10,Email,Closed,Low,0,0,0,0,0,190,0
55,605,5281,93,86,6,Chat,Closed,High,1,0,0,0,0,339,0
56,474,6520,86,136,4,Email,Closed,High,0,0,0,0,0,130,0
57,466,13038,78,199,3,Email,Closed,High,0,1,0,0,0,250,0
58,306,1848,43,129,4,Chat,Open,High,0,0,0,0,0,127,0
59,43,4603,78,35,7,Email,Closed,Medium,0,0,0,0,0,28,0
60,133,8185,41,46,7,Email,Closed,Medium,0,0,0,0,0,33,0
61,577,9816,103,241,10,Email,Closed,Low,0,0,0,0,0,54,0
62,351,854,43,139,8,Phone,Open,Low,0,0,0,0,0,84,0
63,594,14103,36,197,5,Email,Closed,Medium,0,0,0,0,0,86,0
64,149,8228,36,138,8,Chat,Closed,Low,0,0,0,0,0,57,0
65,71,14584,106,29,2,Email,Escalated,Medium,0,0,1,34,0,142,0
66,321,14785,14,102,9,Chat,Closed,High,0,0,1,24,1,34,0
67,603,10968,100,80,3,Email,Open,High,0,0,0,0,0,79,0
68,444,2893,55,108,7,Chat,Closed,Medium,0,0,0,0,0,48,0
69,162,5394,69,39,4,Chat,Closed,High,0,1,0,0,0,327,0
70,360,4871,89,109,10,Chat,Closed,Low,0,0,0,0,0,32,0
71,458,12456,73,215,4,Chat,Closed,High,0,0,1,19,0,76,0
72,688,5700,70,69,10,Email,Closed,Low,0,0,0,0,0,71,0
73,196,4820,64,225,1,Chat,Closed,Medium,0,0,1,20,0,129,0
74,160,366,87,48,3,Email,Closed,High,0,0,0,0,0,161,0
75,506,5884,32,126,7,App,Closed,High,0,0,0,0,1,20,0
76,92,13130,79,203,7,Chat,Closed,Medium,0,0,0,0,0,120,0
77,680,3015,74,121,1,Chat,Closed,Medium,0,1,1,28,0,205,1
78,653,2215,50,181,7,Chat,Closed,Medium,0,0,0,0,0,127,0
79,261,5102,41,87,3,Chat,Open,High,0,1,0,0,0,81,1
80,145,11179,58,121,5,Chat,Closed,High,1,0,1,91,0,220,0
81,239,12796,59,183,2,Phone,Closed,Medium,0,0,1,37,0,141,0
82,71,8729,8,229,3,Phone,Closed,High,0,0,1,89,0,17,0
83,475,8019,37,74,10,Email,Escalated,Low,0,0,0,0,0,50,0
84,699,8620,40,242,1,Chat,Closed,Medium,0,0,1,22,0,43,1
85,547,3432,59,56,8,Chat,Closed,Low,0,0,0,0,0,132,0
86,696,3711,100,198,10,Email,Closed,Low,0,0,0,0,0,50,0
87,656,8788,119,29,5,Chat,Closed,Medium,0,0,0,0,0,79,0
88,308,7237,55,235,5,Phone,Closed,Medium,0,0,0,0,0,165,0
89,667,5117,92,35,2,Email,Closed,Medium,0,0,0,0,0,44,0
90,399,5982,31,213,7,Email,Closed,High,0,0,0,0,1,103,0
91,702,9116,27,164,9,Email,Closed,Low,0,0,0,0,0,66,0
92,103,6823,12,29,8,Email,Closed,Low,0,0,0,0,0,26,0
93,280,13492,21,27,10,Email,Closed,Low,0,0,0,0,0,82,0
94,599,8445,111,51,5,Chat,Closed,Medium,0,0,0,0,0,87,0
95,133,6769,50,55,4,Chat,Closed,High,0,0,1,41,0,114,0
96,711,1896,91,231,2,Chat,Closed,Medium,0,0,0,0,0,141,0
97,86,5724,92,229,7,Phone,Closed,Medium,0,0,0,0,0,109,0
98,605,10556,96,93,9,Email,Escalated,Low,0,0,0,0,0,205,0
99,181,3098,8,22,6,Phone,Closed,High,0,0,0,0,0,85,0
100,671,8833,116,96,6,Phone,Closed,High,0,0,0,0,0,112,0
101,35,8459,38,158,7,Chat,Closed,Medium,0,0,0,0,0,107,1
102,506,6657,19,238,9,Chat,Closed,Low,0,0,0,0,0,71,0
103,610,11053,84,98,6,Email,Closed,High,0,0,0,0,0,100,0
104,659,13838,35,48,4,Chat,Closed,High,0,0,0,0,0,82,0
105,34,2901,76,47,8,Email,Closed,Low,0,0,0,0,0,55,0
106,478,1729,32,200,5,Chat,Closed,Medium,0,0,0,0,0,51,0
107,723,10638,42,135,6,Email,Closed,High,1,0,0,0,0,163,0
108,466,14986,61,13,2,Chat,Closed,Medium,0,0,1,74,0,64,0
109,385,6328,64,203,5,Email,Closed,Medium,0,0,0,0,0,191,0
110,681,9178,72,123,5,Chat,Closed,Medium,0,0,0,0,0,65,0
111,122,99,68,110,1,Email,Closed,Medium,0,0,0,0,0,64,0
112,309,11381,65,230,3,Phone,Open,High,0,0,1,22,0,82,0
113,208,5460,39,85,2,Chat,Closed,High,0,0,1,107,1,153,0
114,126,8067,107,70,4,Chat,Closed,High,1,0,0,0,0,172,0
115,505,9817,28,108,3,Chat,Closed,High,0,0,0,0,1,87,0
116,704,14386,45,152,10,Email,Closed,Low,0,0,1,53,0,61,0
117,62,1816,15,230,3,Chat,Closed,High,0,0,1,42,0,100,0
118,55,9030,45,193,8,Phone,Open,Low,0,0,0,0,0,44,0
119,348,8770,52,176,3,Email,Closed,High,0,0,1,28,0,146,0
120,374,11614,75,167,5,Email,Closed,Medium,0,0,0,0,0,102,0
121,523,1396,47,191,7,App,Closed,Medium,0,0,0,0,0,58,1
122,240,11524,36,194,6,Chat,Escalated,High,0,0,0,0,0,44,1
123,224,12628,19,27,8,Email,Open,Low,0,0,0,0,0,99,0
124,538,739,27,29,4,Email,Closed,High,1,0,0,0,0,147,1
125,48,626,12,23,6,App,Closed,High,0,0,0,0,0,166,0
126,487,7922,55,62,6,Phone,Closed,High,1,0,0,0,0,252,0
127,590,10130,11,233,4,Chat,Closed,High,0,0,0,0,0,134,0
128,521,2021,114,206,9,Email,Closed,Low,0,0,0,0,0,56,0
129,334,3727,83,188,2,Chat,Closed,Medium,0,0,1,21,0,83,0
130,247,8424,39,177,5,App,Open,Medium,0,0,0,0,0,224,0
131,105,1058,1,191,4,Phone,Closed,High,0,0,0,0,0,237,0
132,514,11304,51,55,3,Email,Closed,High,0,0,0,0,0,70,0
133,509,7334,10,142,6,Email,Closed,High,0,0,0,0,0,158,1
134,459,12691,90,71,10,Email,Closed,Low,0,0,0,0,0,43,0
135,372,4476,95,205,3,Phone,Closed,High,0,0,0,0,0,68,0
136,676,14955,45,248,4,Phone,Closed,High,0,0,0,0,0,102,0
137,35,320,78,184,3,Email,Closed,High,0,0,0,0,0,134,0
138,576,1237,50,142,3,Chat,Escalated,High,0,0,0,0,0,134,0
139,618,68,36,145,10,Chat,Closed,Low,0,0,0,0,0,83,0
140,244,5653,118,161,2,Email,Closed,Medium,0,0,0,0,0,109,0
141,409,1311,68,156,3,Phone,Closed,High,1,1,1,83,0,295,0
142,521,13750,83,102,8,Chat,Closed,Low,0,0,1,115,0,96,0
143,205,7284,114,227,3,Chat,Open,High,0,0,1,68,0,128,0
144,555,3786,100,250,8,Chat,Open,Low,0,0,0,0,0,56,0
145,697,13192,30,97,6,Chat,Closed,High,0,0,0,0,0,52,0
146,545,5714,98,129,8,Chat,Closed,Low,0,0,0,0,0,52,0
147,493,8308,38,33,4,App,Closed,High,0,0,0,0,0,157,0
148,566,8057,26,110,4,Chat,Closed,High,0,0,0,0,0,100,0
149,269,5778,21,24,1,Chat,Closed,Medium,0,0,0,0,0,26,0
150,152,9339,116,250,2,Email,Closed,Medium,0,0,0,0,0,143,0
151,62,6970,83,236,4,Chat,Closed,High,0,0,0,0,0,77,0
152,168,14029,76,126,3,Email,Closed,High,0,0,1,82,0,42,0
153,384,7618,27,54,7,Email,Closed,Medium,0,0,0,0,0,60,0
154,312,10122,99,15,10,Chat,Closed,Low,0,0,0,0,0,66,0
155,576,7537,114,79,8,App,Closed,Low,0,0,0,0,0,119,1
156,60,14381,76,5,2,Email,Closed,Medium,0,0,1,44,0,75,0
157,279,14016,71,101,10,Phone,Closed,High,1,0,0,0,0,38,1
158,667,4456,41,15,4,Chat,Closed,High,0,0,0,0,0,175,0
159,620,13582,17,106,2,Chat,Closed,Medium,0,0,1,74,0,73,0
160,317,3451,73,117,3,Chat,Closed,High,0,0,0,0,0,195,0
161,300,6444,120,220,1,Chat,Closed,Medium,0,0,0,0,0,66,0
162,569,6337,58,115,10,Chat,Closed,Low,0,0,1,65,0,126,0
163,43,11343,81,65,2,Chat,Closed,Medium,0,0,0,0,0,38,0
164,318,13997,78,176,2,Email,Closed,Medium,0,0,0,0,0,82,0
165,112,9855,33,159,3,Email,Closed,High,0,0,1,31,0,108,0
166,507,9442,11,70,2,Chat,Closed,Medium,0,0,1,50,0,99,0
167,707,5115,22,162,4,Email,Closed,High,0,0,0,0,0,149,0
168,473,11428,23,191,7,Email,Closed,Medium,0,0,0,0,0,85,0
169,693,3572,89,70,4,Chat,Closed,High,0,0,0,0,0,115,0
170,171,12967,86,185,4,Phone,Closed,High,0,0,1,27,0,51,0
171,360,8778,37,45,3,Chat,Closed,High,1,0,0,0,0,221,0
172,411,13180,50,247,6,Chat,Closed,High,0,0,0,0,0,111,0
173,257,11255,77,235,5,Email,Closed,Medium,0,0,1,26,0,138,1
174,49,569,87,105,8,Chat,Closed,Low,0,0,0,0,0,13,0
175,560,5325,59,63,4,Chat,Open,High,0,0,0,0,0,74,0
176,464,13599,81,83,4,Email,Closed,High,0,0,1,37,0,124,0
177,719,14873,116,203,10,Chat,Closed,Low,0,0,0,0,0,75,0
178,226,11925,117,107,10,Phone,Closed,High,0,0,1,22,1,70,0
179,693,5998,48,126,1,Email,Closed,Medium,0,0,0,0,0,98,0
180,523,9992,102,25,5,Chat,Closed,Medium,0,0,0,0,0,71,0
181,393,9864,1,38,10,Chat,Closed,Low,0,0,0,0,0,44,0
182,633,6802,78,101,6,Phone,Open,High,1,0,0,0,0,99,0
183,88,6640,43,30,10,Chat,Closed,Low,0,0,0,0,0,134,0
184,101,2833,9,232,7,Email,Closed,High,0,0,0,0,1,83,0
185,99,9511,47,8,1,Chat,Closed,Medium,0,0,1,28,0,230,0
186,534,7754,30,212,8,Chat,Closed,Low,0,0,1,96,0,29,0
187,616,1920,89,114,10,Chat,Closed,Low,0,0,0,0,0,82,0
188,486,8315,116,4,4,Email,Closed,High,0,0,0,0,0,42,0
189,71,1676,32,67,2,Email,Closed,Medium,0,0,0,0,0,125,0
190,428,4918,45,92,5,Email,Escalated,Medium,0,0,0,0,0,103,1
191,286,6469,112,130,5,App,Closed,Medium,0,0,0,0,0,132,1
192,316,8980,113,176,5,Chat,Escalated,Medium,0,0,0,0,0,62,0
193,477,810,56,229,10,Email,Closed,Low,0,0,0,0,0,31,0
194,567,10495,88,218,5,Email,Closed,Medium,0,0,0,0,0,80,0
195,127,3936,32,167,9,Phone,Closed,Low,0,0,0,0,0,98,0
196,551,11644,14,186,4,Chat,Closed,High,0,0,0,0,0,122,0
197,425,5413,7,123,4,Email,Closed,High,0,0,0,0,0,90,0
198,387,14178,93,3,4,App,Closed,High,0,0,1,84,0,171,0
199,139,7579,61,38,10,Email,Closed,Low,0,0,0,0,0,31,0
200,132,13639,10,54,5,Chat,Closed,Medium,0,0,0,0,0,110,0
201,236,11536,83,95,7,Email,Closed,Medium,0,0,0,0,0,89,0
202,161,5391,78,212,8,Chat,Open,Low,0,0,0,0,0,76,0
203,417,13373,82,206,3,Chat,Closed,High,0,0,1,59,0,81,0
204,557,188,75,69,9,Chat,Closed,Low,0,0,0,0,0,107,0
205,404,129,103,191,9,Email,Closed,Low,0,0,0,0,0,66,0
206,165,3602,26,246,6,Email,Escalated,High,0,0,0,0,0,44,1
207,226,8537,103,226,4,Email,Closed,High,0,0,0,0,0,137,0
208,149,12728,117,15,7,Chat,Closed,Medium,0,0,0,0,0,84,0
209,314,6081,41,3,8,Chat,Closed,Low,0,0,0,0,0,61,0
210,307,6368,55,198,6,Chat,Closed,High,1,0,0,0,0,123,0
211,656,4320,78,214,2,Chat,Closed,Medium,0,0,0,0,0,69,0
212,420,6569,24,213,3,Chat,Closed,High,0,0,0,0,1,70,0
213,178,1514,118,130,1,Email,Escalated,Medium,0,0,0,0,0,73,0
214,331,3466,113,122,6,Email,Closed,High,0,0,0,0,0,316,0
215,504,8047,9,69,9,Email,Closed,Low,0,0,0,0,0,44,0
216,688,9831,39,228,2,Email,Closed,Medium,0,0,0,0,0,106,0
217,541,11321,90,140,1,App,Closed,Medium,0,0,0,0,0,54,0
218,298,1311,77,116,1,Chat,Closed,Medium,0,0,0,0,0,183,0
219,610,14965,63,95,1,Chat,Closed,Medium,0,0,0,0,0,159,0
220,187,1941,8,53,10,Chat,Closed,Low,0,0,0,0,0,91,0
221,451,8679,79,15,1,Chat,Escalated,Medium,0,0,1,26,0,91,0
222,620,5720,50,65,1,Email,Closed,Medium,0,1,1,75,0,212,0
223,84,8829,39,22,9,Email,Closed,Low,0,0,0,0,0,57,0
224,258,2849,27,92,2,Chat,Closed,High,1,0,0,0,0,25,0
225,648,8282,44,25,10,Chat,Escalated,Low,0,0,1,155,0,32,0
226,114,7934,42,188,6,Email,Closed,High,0,0,0,0,0,141,0
227,640,13925,115,60,2,Chat,Closed,Medium,0,0,1,17,0,95,0
228,89,14295,3,143,4,Phone,Closed,High,0,0,0,0,0,5,0
229,651,13971,116,43,10,Chat,Closed,Low,0,0,0,0,0,57,0
230,536,1938,108,239,6,Chat,Closed,High,0,0,0,0,0,159,0
231,547,5678,90,177,9,Chat,Closed,Low,0,0,0,0,0,17,0
232,645,7307,41,92,5,Email,Closed,Medium,0,0,0,0,0,27,0
233,618,7806,89,196,6,Email,Closed,High,0,0,0,0,0,248,0
234,421,2912,94,108,2,Chat,Open,Medium,0,0,0,0,0,141,0
235,616,5114,94,176,8,Email,Closed,Low,0,0,0,0,0,66,0
236,174,8547,53,81,6,Phone,Closed,High,0,0,1,98,0,122,0
237,580,9854,107,30,6,Email,Closed,High,0,0,0,0,0,227,0
238,502,1464,26,178,9,Email,Closed,Low,0,0,0,0,0,61,0
239,569,11677,83,87,9,App,Closed,Low,0,0,0,0,0,23,0
240,552,8451,27,74,9,Email,Closed,Low,0,0,0,0,0,12,0
241,474,2195,118,79,4,Chat,Closed,High,0,0,0,0,0,140,0
242,213,7492,5,109,1,Email,Closed,Medium,0,0,1,31,0,92,0
243,173,3373,107,185,8,Email,Closed,Low,0,0,0,0,0,63,0
244,400,10123,118,190,3,Email,Closed,High,1,0,0,0,0,74,0
245,624,8659,116,134,4,Email,Closed,High,0,0,0,0,0,166,0
246,279,14446,103,60,9,Chat,Closed,Low,0,1,0,0,0,52,0
247,216,2866,33,95,6,Email,Closed,High,0,0,0,0,1,305,1
248,713,692,120,137,9,Chat,Closed,Low,0,0,0,0,0,59,0
249,510,3827,53,52,1,Email,Closed,Medium,0,0,1,17,0,94,0
250,595,665,80,188,8,Email,Closed,Low,0,0,0,0,0,41,0
251,219,6228,25,229,10,Email,Closed,Low,0,0,0,0,0,54,0
252,104,10197,42,181,5,Phone,Closed,Medium,0,0,0,0,0,114,0
253,51,3275,51,196,8,Email,Closed,High,1,0,0,0,0,174,0
254,77,11920,48,167,1,Chat,Closed,Medium,0,0,0,0,0,370,1
255,429,13174,47,197,1,Chat,Closed,High,1,0,0,0,0,210,1
256,4,12826,48,143,4,Email,Closed,High,0,0,0,0,0,92,0
257,311,13130,102,159,10,Chat,Open,Low,0,0,0,0,0,155,0
258,89,11591,67,100,9,Email,Escalated,High,1,0,0,0,0,147,0
259,650,645,87,128,8,Chat,Closed,Low,0,0,0,0,0,56,1
260,471,1025,49,174,8,Email,Closed,Low,0,0,0,0,0,110,0
261,363,10142,77,48,6,Email,Closed,High,0,0,0,0,0,114,0
262,30,253,22,226,3,Email,Open,High,0,0,0,0,0,56,0
263,158,11240,116,59,5,Chat,Closed,Medium,0,0,0,0,0,92,1
264,517,7832,66,83,6,Email,Closed,High,0,0,0,0,0,28,0
265,493,1044,46,46,2,Chat,Closed,Medium,0,0,1,74,0,38,0
266,271,1883,38,240,9,App,Open,Low,0,0,1,33,0,44,0
267,401,230,80,102,5,Chat,Closed,Medium,0,0,0,0,0,13,0
268,48,13489,97,131,8,Chat,Open,High,1,0,1,32,0,42,0
269,353,655,52,181,6,Chat,Closed,High,0,0,0,0,0,105,0
270,716,6873,65,244,2,Email,Closed,Medium,0,0,0,0,0,78,0
271,281,12847,8,237,1,Chat,Closed,Medium,0,0,0,0,0,145,0
272,500,5286,83,26,7,App,Closed,Medium,0,0,0,0,0,54,0
273,275,3399,64,162,8,Email,Closed,Low,0,0,0,0,0,72,0
274,59,12769,13,166,3,Chat,Closed,High,0,0,0,0,0,159,0
275,181,14219,50,114,8,Email,Closed,Low,0,0,0,0,0,78,0
276,471,10157,112,53,4,Chat,Closed,High,0,1,0,0,0,132,0
277,679,7693,28,13,2,Email,Closed,Medium,0,0,0,0,0,183,0
278,424,13232,8,66,9,Email,Closed,Low,0,0,0,0,0,33,0
279,213,55,48,185,7,Email,Closed,Medium,0,0,0,0,0,49,0
280,100,9604,45,100,1,Phone,Closed,High,1,0,1,44,1,213,0
281,462,8176,86,51,7,Email,Closed,Medium,0,0,0,0,0,55,1
282,19,6001,87,112,5,Email,Closed,Medium,0,0,0,0,0,54,0
283,536,4510,11,142,2,Chat,Closed,Medium,0,0,0,0,0,47,0
284,90,14896,11,106,6,Email,Closed,High,0,1,0,0,0,154,0
285,490,10211,110,131,4,Email,Escalated,High,0,0,0,0,0,136,0
286,659,8387,40,167,2,Email,Closed,Medium,0,0,0,0,0,61,0
287,315,2374,109,7,4,Email,Closed,High,0,0,0,0,0,86,0
288,317,8632,110,35,9,Email,Open,Low,0,0,0,0,0,81,0
289,32,2663,85,166,2,Email,Closed,High,0,0,0,0,1,151,0
290,557,1923,33,123,7,Email,Closed,Medium,0,0,0,0,0,56,0
291,419,14224,16,243,10,Chat,Open,Low,0,0,0,0,0,84,0
292,438,5899,40,207,3,Chat,Closed,High,0,0,0,0,0,235,0
293,130,456,5,6,8,Chat,Escalated,Low,0,0,0,0,0,39,0
294,673,2650,31,166,1,Email,Closed,Medium,0,0,1,30,0,101,0
295,618,2995,78,85,3,Email,Closed,High,0,0,1,82,0,38,0
296,581,4490,64,247,4,Chat,Closed,High,0,0,0,0,0,84,0
297,208,9569,46,215,3,Chat,Closed,High,0,0,0,0,1,58,0
298,199,6131,70,137,2,Chat,Closed,Medium,0,0,0,0,0,39,1
299,649,10873,28,93,9,Chat,Closed,Low,0,0,0,0,0,34,0
300,244,13602,18,174,2,Email,Closed,High,0,0,1,51,1,162,1
301,361,7901,22,123,1,Chat,Closed,Medium,0,0,0,0,0,44,0
302,88,8019,70,83,8,Chat,Closed,Low,0,0,0,0,0,17,0
303,561,13849,76,35,6,Chat,Closed,High,0,0,1,8,0,136,0
304,26,11286,103,15,3,App,Closed,High,0,1,0,0,0,92,0
305,224,12123,120,88,8,App,Closed,Low,0,0,0,0,0,63,0
306,491,10599,51,147,4,Phone,Closed,High,0,0,0,0,0,27,0
307,283,14698,4,44,8,Email,Closed,Low,0,0,1,34,0,51,0
308,511,8294,79,220,9,Email,Closed,Low,0,0,0,0,0,118,0
309,169,10383,24,76,1,Chat,Closed,Medium,0,0,0,0,0,58,0
310,339,4533,109,213,6,Chat,Closed,High,0,1,0,0,0,137,0
311,390,13019,16,224,6,Email,Closed,High,0,0,0,0,0,145,0
312,211,6033,109,118,9,Email,Closed,Low,0,0,0,0,0,139,0
313,107,1025,42,187,3,Email,Closed,High,1,0,0,0,0,152,0
314,317,9983,67,98,4,Email,Open,High,0,0,0,0,0,105,0
315,322,8183,111,91,3,App,Closed,High,0,1,1,69,0,68,1
316,205,7047,24,81,10,Email,Closed,Low,0,0,1,75,0,67,0
317,224,9065,60,84,10,Chat,Closed,Low,0,0,0,0,0,47,0
318,43,14377,51,21,7,Email,Closed,Medium,0,0,0,0,0,77,1
319,619,5203,56,97,7,Phone,Closed,Medium,0,0,1,44,0,107,0
320,62,6845,80,70,9,Chat,Closed,Low,0,0,0,0,0,58,0
321,13,4661,82,249,5,Phone,Closed,Medium,0,0,0,0,0,170,0
322,478,13777,30,26,8,Email,Closed,Low,0,0,0,0,0,12,0
323,83,12679,108,177,2,App,Closed,Medium,0,0,0,0,0,104,0
324,374,5358,1,161,8,Email,Closed,Low,0,1,0,0,0,62,0
325,589,1063,76,149,10,App,Closed,Low,0,0,1,54,0,32,0
326,95,217,3,105,9,Email,Closed,Low,0,0,0,0,0,22,0
327,678,11545,107,104,4,Chat,Escalated,High,0,0,0,0,0,178,1
328,520,13009,104,47,7,Chat,Closed,Medium,0,0,0,0,0,210,0
329,670,5771,6,151,7,App,Escalated,Medium,0,0,1,44,0,207,1
330,531,11381,60,177,2,App,Closed,Medium,0,1,0,0,0,210,0
331,286,5524,110,155,8,Chat,Closed,Low,0,0,0,0,0,46,0
332,567,12964,29,55,8,Chat,Closed,Low,0,0,0,0,0,61,0
333,174,9021,100,23,2,Email,Closed,Medium,0,0,0,0,0,56,0
334,166,7462,50,147,2,Email,Closed,Medium,0,0,0,0,0,68,0
335,273,13958,60,131,5,Phone,Closed,Medium,0,0,0,0,0,39,0
336,354,489,3,50,4,Email,Closed,High,0,0,0,0,0,81,0
337,443,2156,117,42,4,Email,Escalated,High,0,0,0,0,0,57,0
338,549,12739,117,180,3,Email,Escalated,High,0,0,0,0,0,35,0
339,372,3817,93,134,3,Email,Closed,High,0,0,0,0,0,156,0
340,450,13693,1,163,2,Email,Closed,Medium,0,0,0,0,0,9,1
341,42,429,75,27,2,Email,Closed,Medium,0,0,0,0,0,25,1
342,255,7546,103,139,4,Email,Open,High,0,0,0,0,0,83,0
343,65,7707,109,238,2,Email,Closed,Medium,0,0,1,22,0,42,0
344,473,14986,77,78,9,Chat,Open,Low,0,0,0,0,0,114,0
345,336,1910,35,233,1,Chat,Closed,Medium,0,0,1,52,0,87,0
346,606,7802,63,222,2,Chat,Closed,High,0,1,0,0,1,75,0
347,10,14090,119,190,3,Email,Closed,High,0,0,0,0,1,61,0
348,692,1079,41,166,4,Phone,Closed,High,0,0,0,0,0,66,0
349,21,12831,64,232,6,Email,Open,High,0,0,0,0,0,64,1
350,180,5254,85,34,5,Email,Closed,Medium,0,0,0,0,0,126,0
351,359,4504,30,30,8,Phone,Escalated,Low,0,0,0,0,0,103,0
352,79,5350,85,227,7,Email,Closed,Medium,0,0,0,0,0,35,0
353,133,9200,43,59,6,Chat,Closed,High,0,0,0,0,0,93,0
354,676,8527,11,5,5,Email,Closed,Medium,0,0,0,0,0,21,0
355,627,2639,60,32,7,Chat,Closed,Medium,0,0,0,0,0,23,0
356,392,14339,65,4,10,Chat,Closed,Low,0,0,0,0,0,81,0
357,564,3106,74,161,5,Email,Closed,Medium,0,0,0,0,0,83,0
358,385,13359,119,113,1,Chat,Closed,Medium,0,0,0,0,0,178,0
359,84,13843,2,170,5,Email,Escalated,Medium,0,0,0,0,0,26,0
360,287,11550,32,211,2,Phone,Escalated,Medium,0,0,1,53,0,183,0
361,152,10402,58,185,2,Email,Closed,Medium,0,0,1,48,0,63,0
362,254,10676,82,65,2,Phone,Closed,Medium,0,0,0,0,0,65,0
363,301,7102,81,140,1,Chat,Closed,Medium,0,1,0,0,0,101,0
364,391,6741,110,118,9,Chat,Closed,Low,0,0,0,0,0,52,0
365,130,8289,40,190,3,Email,Closed,High,0,0,0,0,0,127,0
366,457,12881,51,233,3,Phone,Closed,High,0,0,1,54,0,84,0
367,575,2210,99,138,1,Email,Closed,Medium,0,1,1,31,0,77,0
368,553,11496,96,49,7,Chat,Closed,Medium,0,0,0,0,0,123,0
369,89,1911,114,128,4,Chat,Closed,High,0,1,0,0,0,337,0
370,690,14192,71,113,5,App,Open,Medium,0,0,1,110,0,126,0
